id,text,text_english_gloss,label,category,sub_type,language,script,channel,target_demographic,cultural_lever,reasoning_tag,context_type,recommended_action,completion,rejected_completion
cdef-025,各位群友，分享一個好消息！我跟著陳老師嘅策略炒美股期權，兩個月賺咗五萬美金，連我先生都唔信。陳老師今晚八點有免費直播教學，名額只有50人，有興趣嘅私我拉你入VIP群。,"Hi everyone in the group! Sharing good news — I followed Teacher Chen's US stock options strategy and made $50K in two months, even my husband couldn't believe it. Teacher Chen has a free live-streaming class tonight at 8, only 50 spots. DM me if interested and I'll add you to the VIP group.",scam,fraud,pig_butchering_group_chat,cantonese,traditional,wechat_group,elder_immigrant,collectivist_pressure,"guaranteed_returns,sunk_cost_escalation",original,hang_up_and_verify,"Pig-butchering in a group-chat format — the social-proof variant. The 'happy investor' is almost certainly a shill account operated by the same ring (or multiple accounts they control); the 'teacher' is the hook; the 'VIP group' is where isolation begins. Real licensed financial advisors do not teach through WeChat groups, do not cap spots for artificial urgency, and cannot guarantee returns. Because this is a group chat, coach your parent differently than a 1-to-1 scam: they can simply leave or mute the group without needing to 'call out' the poster (face-saving matters here). If multiple aunties or uncles in the group are engaging, quietly message them 1-to-1 with a warning — do not confront in-group, which only makes the scammer double down. Verify any claimed advisor on FINRA BrokerCheck (brokercheck.finra.org).","Wow congrats! Please add me to the VIP group, I want to learn Teacher Chen's strategy too."
cdef-027,王伯伯，呢款係宮廷秘方嘅人參靈芝膠囊，我哋張老中醫親自配方。佢喺北京協和醫院做咗四十年中醫部主任，專治糖尿病同高血壓，三個月斷尾，一百幾十位老人家試過都話好。今日試用價，一盒原價$580，今日只需$280，買三送一仲送免費體檢。,"Uncle Wong, this is an imperial-secret-formula ginseng and reishi capsule, personally formulated by our Dr. Zhang. He served 40 years as head of the TCM department at Beijing Union Medical College Hospital, specializing in diabetes and hypertension — three months and the condition is cured. A hundred-plus elders have tried it and all say it works. Today's trial price: one box regularly $580, today only $280, buy three get one free plus a free health check.",scam,fraud,miracle_health_product,cantonese,traditional,in_person,elder_immigrant,health_anxiety,"guaranteed_returns,authority_impersonation,advance_fee",original,hang_up_and_verify,"Miracle health product scam, Chinatown seniors-seminar variant. Red flags: 'cures' serious chronic disease (diabetes/hypertension cannot be cured by a supplement — only managed), claim of credentials at a famous hospital that is almost always unverifiable or fabricated, group testimonials as proof, and artificial pricing urgency. These products are not regulated as drugs, may be adulterated, and in documented cases have caused real harm (a UK case with Mu Tong caused two women to need kidney transplants from aristolochic acid). Tell your parent: do not buy, do not take any free sample. If they already bought, stop taking the product and check the FDA Health Fraud Product Database (fda.gov). If they have been taking it alongside real medications for diabetes or blood pressure, tell their actual doctor — some herbal products interact dangerously with prescriptions.",兩盒先試下啦，八百蚊啫，如果真係可以斷尾糖尿就值晒。
cdef-028,叔叔，我係寶寶呀，我喺美國讀書嗰邊出咗事。我被FBI帶咗去問話，佢哋話我喺學校嘅銀行戶口有洗錢嫌疑。我冇得打俾爸爸媽媽，佢哋只俾我一個電話。你可唔可以幫我匯五萬美金去保釋，千祈唔好話俾我爸媽知，佢哋會好嬲。,"Uncle, it's me, Baobao. I got in trouble over here in the US at school. The FBI took me in for questioning — they say my school bank account is suspected of money laundering. I can't call Mom and Dad, they only let me make one call. Can you please wire $50,000 for bail? Please don't tell my parents, they'll be so angry.",scam,fraud,student_child_as_leverage,cantonese,traditional,phone_call,elder_immigrant,filial_piety,"authority_impersonation,isolation_tactic,urgency_manipulation",original,hang_up_and_verify,"The student-as-leverage scam — the elder (uncle/grandparent) is the real target, the 'student in trouble' is the narrative hook. Every signal is a red flag stacked: the FBI does not allow detainees one phone call to an uncle (and does not investigate student bank accounts for 'money laundering' by calling relatives in Cantonese), bail is never wired, and 'don't tell the parents' is the isolation tactic that keeps the scam running. Tell your parent: hang up, and immediately call the student's actual parents (their own son/daughter) or call the student directly on the number the family already has. In parallel, contact the university's international student office — they handle real law-enforcement situations and will know if anything has actually happened. Do not wire anything under any circumstance.",好好好，叔叔幫你。你畀個銀行帳號我，我而家就去匯款，唔會話俾你爸媽知。
cdef-029,"This is a follow-up regarding the unauthorized transaction dispute you filed on 2026-03-28 (case #DP-2026-884173). We have credited $847.19 back to your account ending in 4521. This matches the amount disputed. You can verify this credit in your online banking or mobile app. If you have questions, please call the number on the back of your card. We will never ask you to share your PIN, full SSN, or online banking password.","This is a follow-up regarding the unauthorized transaction dispute you filed on 2026-03-28 (case #DP-2026-884173). We have credited $847.19 back to your account ending in 4521. This matches the amount disputed. You can verify this credit in your online banking or mobile app. If you have questions, please call the number on the back of your card. We will never ask you to share your PIN, full SSN, or online banking password.",safe,legitimate_communication,real_customer_service_refund,english,romanized,sms,caregiver,none,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate bank dispute follow-up. Verified signals: it references a specific prior case the recipient opened, names the last four of the account, directs you to verify through your existing banking app rather than a new link, and explicitly tells you the bank will never ask for PIN or password. No urgency, no off-channel redirect, no request for information. You can independently confirm by logging into online banking or calling the number on the back of the card.",
cdef-030,中國駐紐約總領館通知：近期接獲多宗涉及假冒領館工作人員嘅電話詐騙舉報。我館鄭重聲明：領館工作人員絕不會以電話要求公民匯款、提供銀行賬戶資料或個人身份信息。如接獲可疑電話，請立即掛斷並撥打我館官方電話 212-244-9392 核實，或瀏覽 newyork.china-consulate.gov.cn。,"Notice from the Chinese Consulate General in New York: Recently, multiple reports of phone fraud impersonating consulate staff have been received. Our consulate solemnly states: consulate staff will never request citizens to remit money, provide bank account details, or personal identity information by phone. If you receive a suspicious call, please hang up immediately and dial our official number 212-244-9392 to verify, or visit newyork.china-consulate.gov.cn.",safe,legitimate_communication,real_consulate_notice,cantonese,traditional,wechat_1to1,elder_immigrant,authority_deference,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate consulate anti-fraud notice. Verified signals: it warns *against* the exact scam pattern rather than demanding action from the recipient, gives the publicly-listed consulate number (212-244-9392), points to the consulate's real .gov.cn domain, and does not ask for money or personal information. Real consulate communications look like this one: informational, verifiable, and never require the recipient to do anything except look up a number independently if they want to confirm.",
cdef-032,"【花旗銀行Citi提醒】您於4月14日係紐約法拉盛分行提款$3,000嘅交易已完成。如果呢筆交易係您本人操作，無需回覆。如有疑問，請致電您卡背嘅客服號碼，或登入Citi Mobile App查閱交易記錄。","[Citibank Alert] Your $3,000 withdrawal at the Flushing, NY branch on April 14 has been completed. If this transaction was made by you, no reply is needed. If you have questions, please call the customer service number on the back of your card, or log in to the Citi Mobile App to review your transaction history.",safe,legitimate_communication,real_bank_alert,cantonese,traditional,sms,elder_immigrant,none,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate bank transaction alert. Verified signals: specific prior action (a withdrawal the customer actually made), specific branch and date, explicit 'no reply needed if this was you,' directs to the number on the back of the card (not a new number), and verification through the app the customer already uses. No link, no urgency, no request for information. Real bank alerts look like this — they inform, they don't demand action. If your parent did make that withdrawal, nothing to do. If they didn't, call the number on the card (not any number in the SMS).",
cdef-033,媽，朱律師事務所寄嚟你話要嘅遺產規劃文件草稿，我放咗喺飯枱度。佢哋話下星期二下午三點可以去佢哋中城嘅office見面sign字，地址同電話喺信封封面。你記得帶埋你同爸爸嘅身份證。,"Mom, the estate planning draft from Chu Law Firm that you asked for came in — I put it on the dining table. They say we can meet at their midtown office next Tuesday 3pm to sign, the address and phone are on the envelope. Remember to bring yours and Dad's IDs.",safe,legitimate_communication,real_legal_correspondence,cantonese,traditional,in_person,elder_immigrant,none,legitimate_process,contrast,verify_via_official_channel,"This is a legitimate estate-planning follow-up from a law firm the family already engaged. Verified signals: a service the recipient actually requested, physical mail with the firm's address and phone on it, an in-person appointment at a real office, and no money demand or off-channel move. No red flags. The rule of thumb for your parent: if it arrived in a real envelope, names a specific prior conversation, and offers an in-person meeting at a verifiable address, it is almost certainly legitimate — and anyone who doesn't fit that pattern but claims urgency is worth a second call to verify.",
cdef-035,"Hi Auntie, this is a reminder that the Flushing Senior Center 長者中心 Tai Chi class resumes this Wednesday 10am. No charge, bring your usual water bottle. If you're not coming, reply here so we can offer your spot to someone on the waitlist. — Amy 林小姐","Hi Auntie, this is a reminder that the Flushing Senior Center Tai Chi class resumes this Wednesday 10am. No charge, bring your usual water bottle. If you're not coming, reply here so we can offer your spot to someone on the waitlist. — Amy (Ms. Lam)",safe,legitimate_communication,real_community_organization,english,romanized,sms,elder_immigrant,none,legitimate_process,contrast,verify_via_official_channel,"This is a legitimate community-organization reminder — the kind of message a real senior center coordinator sends. Verified signals: references an ongoing activity the recipient is already enrolled in, a named coordinator the recipient knows, no charge, no ask for information, no urgency beyond basic courtesy. The reply request is a normal waitlist courtesy, not a credential-harvesting trick. Nothing to worry about — your parent can just reply yes or no.",
cdef-037,"Mom, your grandson Jason wants to FaceTime this Saturday at 10am California time for your birthday. He'll call from his own number (the one ending in 7432). Dad and I will be on too. No gifts needed, just show up!","Mom, your grandson Jason wants to FaceTime this Saturday at 10am California time for your birthday. He'll call from his own number (the one ending in 7432). Dad and I will be on too. No gifts needed, just show up!",safe,legitimate_communication,real_family_message,english,romanized,wechat_1to1,elder_immigrant,none,legitimate_process,contrast,verify_via_official_channel,"Legitimate family coordination message, intentionally close in tone to what a grandparent scam tries to impersonate. Verified signals: names a specific known family member, specifies the phone number the call will come from (so the recipient can recognize it), involves a group not just the 'victim,' has no urgency, no money request, no isolation demand. This is what normal family talk looks like — the presence of a real number, multiple family members, and no urgency is exactly what a scam will not have.",
cdef-038,媽，我係家樂。我哋阿囡今個禮拜六生日，我Zelle咗$200俾你幫佢買個生日蛋糕。你有時間得閒去唐人街Sheng Kee買個紅豆蛋糕啦，佢鍾意嘅。,"Mom, it's Ka Lok. It's our daughter's birthday this Saturday — I Zelled you $200 to buy her a birthday cake. When you have time, pick up a red bean cake at Sheng Kee in Chinatown, she loves those.",safe,legitimate_communication,ordinary_family_message,cantonese,traditional,sms,elder_immigrant,none,legitimate_process,negative_space,verify_via_official_channel,"This is a normal family message. Your son is sending money *to* his mother (not asking for money), for a known recurring event (granddaughter's birthday), with a specific and mundane task (cake from a real bakery the family knows). The Zelle is inbound, not outbound. No isolation, no urgency, no authority claim. This is the baseline of ordinary family communication — the kind of message that should never trigger a fraud concern. Sometimes money and urgency in a Chinese-language text from family is just... a birthday cake.",
cdef-039,爸，醫生話我下星期一早上要去Stanford做個MRI，8點半到。你可唔可以幫我湊返阿女返學？我大概下午一點幾返到屋企。多謝晒。,"Dad, the doctor said I need to do an MRI at Stanford next Monday morning, arriving at 8:30. Can you help take my daughter to school? I should be home around 1-ish. Thank you.",safe,legitimate_communication,ordinary_family_message,cantonese,traditional,sms,elder_immigrant,none,legitimate_process,negative_space,verify_via_official_channel,"Normal family logistics. Your daughter mentions a real medical appointment, gives a specific place and time, and asks for a reasonable favor (picking up a grandchild). No one is asking for money, no urgency beyond basic scheduling, no isolation, no authority impersonation. Health mentions in Chinese-language family texts are not a red flag by themselves — context and request matter. This is a daughter coordinating with her dad, full stop.",
cdef-040,今晚媽媽煲咗湯，你同阿女幾點返嚟食飯？爸爸話想見下孫女。,Mom made soup tonight — what time are you and your daughter coming over for dinner? Dad says he wants to see his granddaughter.,safe,legitimate_communication,ordinary_family_message,cantonese,traditional,wechat_1to1,caregiver,none,none,negative_space,verify_via_official_channel,"Entirely ordinary. A parent asking when an adult child is coming over for dinner, mentioning grandparent wanting to see the grandchild. No money, no authority claim, no urgency beyond 'what time.' If your first instinct after reading this draft is to check it for scam signals, that's exactly why rows like this belong in the dataset — the model needs to learn that the overwhelming majority of Chinese-language family messages are just family.",
cdef-041,媽你嘅血壓藥仲有冇？我禮拜日過嚟嗰陣見個樽好似唔多。要嘅話我星期二幫你去CVS refill。,"Mom, do you still have blood pressure medication? When I came over Sunday the bottle looked low. If you need it, I'll refill it at CVS on Tuesday.",safe,legitimate_communication,ordinary_family_message,cantonese,traditional,sms,elder_immigrant,none,legitimate_process,negative_space,verify_via_official_channel,"Normal caregiving check-in. An adult child asking about a parent's existing prescription, offering to refill at a real, known pharmacy. No money request, no urgency, no authority claim, no off-channel redirect. Health mentions in a message from a known family member about an already-known prescription should not register as fraud signals — refill coordination is the most ordinary piece of elder caregiving. The rule: when something is exactly as mundane as it sounds, it usually is.",
cdef-042,爸，我下星期要去Seattle出差三日，阿仔會住你屋企。佢學校巴士早上7:45嚟門口接，3:30送返嚟。我會幫佢執定晚餐，你只需要heat一heat就得。,"Dad, I'm traveling to Seattle for work next week, three days. My son will stay with you. His school bus comes at 7:45am and drops off at 3:30pm. I'll prep his dinners, you just need to heat them up.",safe,legitimate_communication,ordinary_family_message,cantonese,traditional,wechat_1to1,elder_immigrant,none,legitimate_process,negative_space,verify_via_official_channel,"Standard family logistics for a work trip. Specific dates, specific times, a real plan, no ask for money, no secrecy. If anything this message has the *opposite* of fraud signals: it's over-coordinated, grounded in known logistics (school bus, heating up food), and assumes the recipient will be fine handling real life. This is the shape of normal inter-generational coordination in Chinese-American families, and the model needs many examples to avoid flagging ordinary life as suspicious.",
cdef-057,您好，这是中国驻旧金山总领馆领事保护热线回电。您上星期四打电话来询问更换护照嘅预约问题，我哋嘅系统显示您嘅预约已安排喺5月12日上午10点，地点喺Laguna Street 1450号领馆大楼。当日请带齐您现有嘅护照原件、两张近期照片同埋填好嘅DS-11表。领馆工作人员唔会要求您提供银行资料或转账，任何此类要求都系骗局。如需改期请致电415-852-5900或发邮件至passport@chinaconsulatesf.org。,"Hello, this is a callback from the Chinese Consulate General San Francisco's consular protection line. You called last Thursday asking about a passport renewal appointment — our system shows your appointment is scheduled for May 12 at 10am at the consulate building, 1450 Laguna Street. Please bring your current passport original, two recent photos, and a completed DS-11 form. Consulate staff will never request banking information or transfers — any such request is a scam. To reschedule, call 415-852-5900 or email passport@chinaconsulatesf.org.",safe,legitimate_communication,real_consulate_notice,mandarin,simplified,phone_call,elder_immigrant,authority_deference,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate consulate callback — the in-channel counterpart to the consulate robocall scam in cdef-017. Verified signals: it references a prior call the recipient actually made (not an invented 'detained package'), confirms a scheduled appointment rather than creating an urgent new crisis, names a real address (1450 Laguna Street is the SF consulate's real location), explicitly says consulate staff will never ask for banking information (which is exactly what the scam version does), and provides an independently-verifiable callback number. No 'press 1 to be transferred,' no threat to report the recipient to PRC authorities. If your parent gets this type of call and they did recently call the consulate, it is almost certainly real — but they can always verify by hanging up and calling 415-852-5900 independently (which is the real consulate number, findable on the consulate's own .gov.cn site).",
cdef-058,王女士您好，这是Kaiser Permanente会员服务部嘅护士Linda通过翻译员跟您通话。我哋注意到您上个月预约嘅心脏科复诊您冇嚟，Dr. Chen想确认您嘅情况。我哋唔需要您嘅任何社会安全号码、银行资料或Medicare号码——您嘅会员档案我哋已经有晒。如果您想重新预约，可以按您会员卡背面嘅电话1-800-464-4000，或者登录kp.org。您今日有冇咩身体唔舒服需要我哋跟进?,"Hello Ms. Wang, this is Nurse Linda from Kaiser Permanente Member Services speaking with you through a translator. We noticed you missed your cardiology follow-up last month, and Dr. Chen wants to check on you. We do not need your Social Security number, banking information, or Medicare number — your member profile is already on file with us. If you'd like to reschedule, call 1-800-464-4000 on the back of your member card, or log in at kp.org. Is there anything bothering you physically today that we should follow up on?",safe,legitimate_communication,real_health_insurance_notice,mandarin,simplified,phone_call,elder_immigrant,authority_deference,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate health plan outreach call — the in-channel counterpart to the health insurance impersonation scam in cdef-018. Verified signals: references a real prior event the patient can verify (a missed appointment), explicitly states the caller will *not* ask for SSN, banking info, or Medicare number (which is exactly what the FBI PSA 251113 scam does), identifies the patient's real doctor by name, and directs to the 1-800 number on the back of the patient's physical Kaiser card. No 'transfer to law enforcement,' no video call on Signal, no urgency to pay a deposit. If your parent is unsure, the test is simple: hang up, call 1-800-464-4000 from the back of the card, and ask if Nurse Linda really works there and whether the missed appointment is in their file. Real plans welcome this kind of verification; scammers punish it.",
