id,text,text_english_gloss,label,category,sub_type,language,script,channel,target_demographic,cultural_lever,reasoning_tag,context_type,recommended_action,completion,rejected_completion,feature_note
cdef-023,【支付宝安全中心】尊敬的用户，检测到您的账户存在异常登录风险，已被临时冻结。请立即拨打客服热线400-XXX-XXXX或添加Signal账号verify_alipay进行身份核实，否则账户内资金将于48小时后上报中国人民银行处理。,"[Alipay Security Center] Dear user, abnormal login risk detected on your account; it has been temporarily frozen. Please immediately call customer service at 400-XXX-XXXX or add Signal account verify_alipay for identity verification, otherwise funds in your account will be reported to the People's Bank of China for handling in 48 hours.",scam,fraud,alipay_unionpay_12306_freeze,mandarin,simplified,sms,elder_immigrant,fear_of_home_country_authorities,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake Alipay account-freeze scam, exploiting fear of mainland Chinese regulatory authority (PBOC). Real Alipay does not contact users through SMS with Signal handles, does not use generic 400 numbers from a text, and does not threaten to 'report funds' to the central bank — that is not how financial regulation works. This pattern targets elders who still have active mainland accounts for remittances or train bookings. Tell your parent: do not call the number, do not add the Signal account. If they want to verify real account status, only log in through the official Alipay app they already have installed. If they already called and gave credentials, change the Alipay password immediately from the app, unbind any linked bank cards, and if money has moved call the bank.",Let me call 400-XXX-XXXX right away — if my account gets reported to the People's Bank I'll be in serious trouble in China.,Payment-platform freeze scams use SMS or phone_call in Mandarin (occasionally Cantonese) because Alipay/UnionPay/12306 are PRC-native platforms; lever is fear_of_home_country_authorities or authority_deference because victims believe a Chinese financial authority can freeze their accounts remotely.
cdef-024,您好，這裏是亞馬遜客服中心。我們檢測到您嘅帳戶有一筆$899嘅可疑扣款，係從一部Android手機下嘅單。為咗幫您退款，麻煩您下載AnyDesk軟件，我哋會引導您完成退款程序。,"Hello, this is Amazon customer service. We detected a suspicious $899 charge on your account from an Android phone. To help you get a refund, please download AnyDesk so we can walk you through the refund process.",scam,fraud,fake_customer_service_refund,cantonese,traditional,phone_call,elder_immigrant,authority_deference,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake customer-service refund scam. The single hardest red flag: no legitimate company — Amazon, Taobao, JD, your bank, Apple — will ever ask a customer to install remote-access software (AnyDesk, TeamViewer, QuickSupport) to process a refund. Once installed, the scammer controls the screen, initiates a fake 'reverse transfer' (really moving money between the victim's own accounts to simulate an overpayment), then panics them into wiring the 'excess' back. Tell your parent: hang up, do not download anything. If they already installed AnyDesk, uninstall it immediately, disconnect from Wi-Fi, and from a different device change passwords on their bank, email, and Amazon accounts. Call the bank's fraud line from the number on the back of the debit card.","Okay, how do I download AnyDesk? Can you help me process the refund?",Fake refund scams use phone_call in multiple languages targeting both elders and caregivers; lever is authority_deference (impersonating Amazon/Apple/bank) or filial_piety (when routed through the adult child).
cdef-025,各位群友，分享一個好消息！我跟著陳老師嘅策略炒美股期權，兩個月賺咗五萬美金，連我先生都唔信。陳老師今晚八點有免費直播教學，名額只有50人，有興趣嘅私我拉你入VIP群。,"Hi everyone in the group! Sharing good news — I followed Teacher Chen's US stock options strategy and made $50K in two months, even my husband couldn't believe it. Teacher Chen has a free live-streaming class tonight at 8, only 50 spots. DM me if interested and I'll add you to the VIP group.",scam,fraud,pig_butchering_group_chat,cantonese,traditional,wechat_group,elder_immigrant,collectivist_pressure,"guaranteed_returns,sunk_cost_escalation",original,hang_up_and_verify,"Pig-butchering in a group-chat format — the social-proof variant. The 'happy investor' is almost certainly a shill account operated by the same ring (or multiple accounts they control); the 'teacher' is the hook; the 'VIP group' is where isolation begins. Real licensed financial advisors do not teach through WeChat groups, do not cap spots for artificial urgency, and cannot guarantee returns. Because this is a group chat, coach your parent differently than a 1-to-1 scam: they can simply leave or mute the group without needing to 'call out' the poster (face-saving matters here). If multiple aunties or uncles in the group are engaging, quietly message them 1-to-1 with a warning — do not confront in-group, which only makes the scammer double down. Verify any claimed advisor on FINRA BrokerCheck (brokercheck.finra.org).","Wow congrats! Please add me to the VIP group, I want to learn Teacher Chen's strategy too.",Pig-butchering group scams use wechat_group in Mandarin with shill participants; lever is collectivist_pressure because the group creates social proof ('everyone else is profiting') to override individual skepticism.
cdef-026,【花旗銀行Citi】尊敬嘅客戶，我哋檢測到您嘅帳戶有可疑登入，來自IP地址俄羅斯莫斯科。如果唔係您本人操作，請於2小時內回覆Y確認凍結，或致電 1-800-XXX-XXXX 核實。逾時帳戶將被自動鎖定。,"[Citibank] Dear customer, we detected a suspicious login on your account from an IP address in Moscow, Russia. If this was not you, please reply Y within 2 hours to confirm a freeze, or call 1-800-XXX-XXXX to verify. After the deadline, your account will be automatically locked.",scam,fraud,fake_customer_service_refund,cantonese,traditional,sms,elder_immigrant,authority_deference,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Bank-impersonation smishing. Four signals: (1) the number embedded in the SMS is not the number on the back of a real Citi card — scammers use lookalike 1-800 numbers, (2) the foreign-IP detail is a standard emotional trigger, (3) legitimate banks don't ask for 'reply Y' actions from a text, (4) the 2-hour deadline manufactures urgency that real bank fraud teams do not impose. Tell your parent: do not reply, do not call the number in the SMS. If they want to check account status, call the number on the back of the physical Citi card or log in through the official app. If they already called the number in the text and gave any verification info, treat the account as compromised — call the real bank from the card, change the online banking password, and ask for a fraud alert.",Let me reply Y right away and then call the number to make sure nothing happens to my account.,Fake refund scams use phone_call in multiple languages targeting both elders and caregivers; lever is authority_deference (impersonating Amazon/Apple/bank) or filial_piety (when routed through the adult child).
cdef-027,王伯伯，呢款係宮廷秘方嘅人參靈芝膠囊，我哋張老中醫親自配方。佢喺北京協和醫院做咗四十年中醫部主任，專治糖尿病同高血壓，三個月斷尾，一百幾十位老人家試過都話好。今日試用價，一盒原價$580，今日只需$280，買三送一仲送免費體檢。,"Uncle Wong, this is an imperial-secret-formula ginseng and reishi capsule, personally formulated by our Dr. Zhang. He served 40 years as head of the TCM department at Beijing Union Medical College Hospital, specializing in diabetes and hypertension — three months and the condition is cured. A hundred-plus elders have tried it and all say it works. Today's trial price: one box regularly $580, today only $280, buy three get one free plus a free health check.",scam,fraud,miracle_health_product,cantonese,traditional,in_person,elder_immigrant,health_anxiety,"guaranteed_returns,authority_impersonation,advance_fee",original,hang_up_and_verify,"Miracle health product scam, Chinatown seniors-seminar variant. Red flags: 'cures' serious chronic disease (diabetes/hypertension cannot be cured by a supplement — only managed), claim of credentials at a famous hospital that is almost always unverifiable or fabricated, group testimonials as proof, and artificial pricing urgency. These products are not regulated as drugs, may be adulterated, and in documented cases have caused real harm (a UK case with Mu Tong caused two women to need kidney transplants from aristolochic acid). Tell your parent: do not buy, do not take any free sample. If they already bought, stop taking the product and check the FDA Health Fraud Product Database (fda.gov). If they have been taking it alongside real medications for diabetes or blood pressure, tell their actual doctor — some herbal products interact dangerously with prescriptions.",兩盒先試下啦，八百蚊啫，如果真係可以斷尾糖尿就值晒。,Miracle health-product scams arrive in_person or via SMS in Mandarin targeting elder_immigrant; lever is health_anxiety because the scam exploits fear of age-related health decline with fake cure claims.
cdef-028,叔叔，我係寶寶呀，我喺美國讀書嗰邊出咗事。我被FBI帶咗去問話，佢哋話我喺學校嘅銀行戶口有洗錢嫌疑。我冇得打俾爸爸媽媽，佢哋只俾我一個電話。你可唔可以幫我匯五萬美金去保釋，千祈唔好話俾我爸媽知，佢哋會好嬲。,"Uncle, it's me, Baobao. I got in trouble over here in the US at school. The FBI took me in for questioning — they say my school bank account is suspected of money laundering. I can't call Mom and Dad, they only let me make one call. Can you please wire $50,000 for bail? Please don't tell my parents, they'll be so angry.",scam,fraud,student_child_as_leverage,cantonese,traditional,phone_call,elder_immigrant,filial_piety,"authority_impersonation,isolation_tactic,urgency_manipulation",original,hang_up_and_verify,"The student-as-leverage scam — the elder (uncle/grandparent) is the real target, the 'student in trouble' is the narrative hook. Every signal is a red flag stacked: the FBI does not allow detainees one phone call to an uncle (and does not investigate student bank accounts for 'money laundering' by calling relatives in Cantonese), bail is never wired, and 'don't tell the parents' is the isolation tactic that keeps the scam running. Tell your parent: hang up, and immediately call the student's actual parents (their own son/daughter) or call the student directly on the number the family already has. In parallel, contact the university's international student office — they handle real law-enforcement situations and will know if anything has actually happened. Do not wire anything under any circumstance.",好好好，叔叔幫你。你畀個銀行帳號我，我而家就去匯款，唔會話俾你爸媽知。,Student-child-as-leverage scams use phone_call or SMS in Cantonese or English; lever is filial_piety because the scam exploits the parent's fear for a child studying abroad.
cdef-029,"This is a follow-up regarding the unauthorized transaction dispute you filed on 2026-03-28 (case #DP-2026-884173). We have credited $847.19 back to your account ending in 4521. This matches the amount disputed. You can verify this credit in your online banking or mobile app. If you have questions, please call the number on the back of your card. We will never ask you to share your PIN, full SSN, or online banking password.","This is a follow-up regarding the unauthorized transaction dispute you filed on 2026-03-28 (case #DP-2026-884173). We have credited $847.19 back to your account ending in 4521. This matches the amount disputed. You can verify this credit in your online banking or mobile app. If you have questions, please call the number on the back of your card. We will never ask you to share your PIN, full SSN, or online banking password.",safe,legitimate_communication,real_customer_service_refund,english,romanized,sms,caregiver,none,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate bank dispute follow-up. Verified signals: it references a specific prior case the recipient opened, names the last four of the account, directs you to verify through your existing banking app rather than a new link, and explicitly tells you the bank will never ask for PIN or password. No urgency, no off-channel redirect, no request for information. You can independently confirm by logging into online banking or calling the number on the back of the card.",,"Contrast twin of fake_customer_service_refund: shares surface features (channel=sms, language=english, authority tone) but differs in the causal feature — verifiable institutional identity, absence of fund-transfer demand, or presence of known family context. The model must learn that sms + english + authority language does NOT determine fraud; the causal features do."
cdef-030,中國駐紐約總領館通知：近期接獲多宗涉及假冒領館工作人員嘅電話詐騙舉報。我館鄭重聲明：領館工作人員絕不會以電話要求公民匯款、提供銀行賬戶資料或個人身份信息。如接獲可疑電話，請立即掛斷並撥打我館官方電話 212-244-9392 核實，或瀏覽 newyork.china-consulate.gov.cn。,"Notice from the Chinese Consulate General in New York: Recently, multiple reports of phone fraud impersonating consulate staff have been received. Our consulate solemnly states: consulate staff will never request citizens to remit money, provide bank account details, or personal identity information by phone. If you receive a suspicious call, please hang up immediately and dial our official number 212-244-9392 to verify, or visit newyork.china-consulate.gov.cn.",safe,legitimate_communication,real_consulate_notice,cantonese,traditional,wechat_1to1,elder_immigrant,authority_deference,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate consulate anti-fraud notice. Verified signals: it warns *against* the exact scam pattern rather than demanding action from the recipient, gives the publicly-listed consulate number (212-244-9392), points to the consulate's real .gov.cn domain, and does not ask for money or personal information. Real consulate communications look like this one: informational, verifiable, and never require the recipient to do anything except look up a number independently if they want to confirm.",,"Contrast twin of consulate_package_pickup: shares surface features (channel=wechat_1to1, language=cantonese, authority tone) but differs in the causal feature — verifiable institutional identity, absence of fund-transfer demand, or presence of known family context. The model must learn that wechat_1to1 + cantonese + authority language does NOT determine fraud; the causal features do."
cdef-031,尊敬的会员，您的Medicare账户年度福利有更新。详情请通过您已有的账户登入 medicare.gov 查阅，或致电您Medicare卡背面印嘅客服号码查询。如需协助，可以联系您当初登记时嘅保险代理人。Medicare绝不会主动致电要求您嘅Medicare号码或银行资料。,"Dear member, your Medicare account annual benefits have been updated. For details, please log in to your existing account at medicare.gov, or call the customer service number printed on the back of your Medicare card. For assistance, you may contact the insurance agent you originally registered with. Medicare will never proactively call you to request your Medicare number or bank information.",safe,legitimate_communication,real_medicare_notice,mandarin,simplified,mail,elder_immigrant,authority_deference,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate Medicare annual notice — the kind of letter that arrives in the pink-and-white envelope. Verified signals: directs the recipient to the existing account they already have, names the number on the back of the physical card (not a new number), tells them their originally-registered agent is a resource, and explicitly states Medicare will never call for their number. No urgency, no click-through link, no request for information. If your parent is ever unsure, the rule is simple: Medicare communicates by mail or through the account they already set up — never by unsolicited phone or SMS.",,"Contrast twin of irs_medicare_chinese: shares surface features (channel=mail, language=mandarin, authority tone) but differs in the causal feature — verifiable institutional identity, absence of fund-transfer demand, or presence of known family context. The model must learn that mail + mandarin + authority language does NOT determine fraud; the causal features do."
cdef-032,"【花旗銀行Citi提醒】您於4月14日係紐約法拉盛分行提款$3,000嘅交易已完成。如果呢筆交易係您本人操作，無需回覆。如有疑問，請致電您卡背嘅客服號碼，或登入Citi Mobile App查閱交易記錄。","[Citibank Alert] Your $3,000 withdrawal at the Flushing, NY branch on April 14 has been completed. If this transaction was made by you, no reply is needed. If you have questions, please call the customer service number on the back of your card, or log in to the Citi Mobile App to review your transaction history.",safe,legitimate_communication,real_bank_alert,cantonese,traditional,sms,elder_immigrant,none,"legitimate_process,verified_source",contrast,verify_via_official_channel,"This is a legitimate bank transaction alert. Verified signals: specific prior action (a withdrawal the customer actually made), specific branch and date, explicit 'no reply needed if this was you,' directs to the number on the back of the card (not a new number), and verification through the app the customer already uses. No link, no urgency, no request for information. Real bank alerts look like this — they inform, they don't demand action. If your parent did make that withdrawal, nothing to do. If they didn't, call the number on the card (not any number in the SMS).",,"Contrast twin of alipay_unionpay_12306_freeze: shares surface features (channel=sms, language=cantonese, authority tone) but differs in the causal feature — verifiable institutional identity, absence of fund-transfer demand, or presence of known family context. The model must learn that sms + cantonese + authority language does NOT determine fraud; the causal features do."
cdef-033,媽，朱律師事務所寄嚟你話要嘅遺產規劃文件草稿，我放咗喺飯枱度。佢哋話下星期二下午三點可以去佢哋中城嘅office見面sign字，地址同電話喺信封封面。你記得帶埋你同爸爸嘅身份證。,"Mom, the estate planning draft from Chu Law Firm that you asked for came in — I put it on the dining table. They say we can meet at their midtown office next Tuesday 3pm to sign, the address and phone are on the envelope. Remember to bring yours and Dad's IDs.",safe,legitimate_communication,real_legal_correspondence,cantonese,traditional,in_person,elder_immigrant,none,legitimate_process,contrast,verify_via_official_channel,"Legitimate in-person follow-up from an estate-planning firm (朱律師事務所 / Chu Law Firm) that the family previously engaged — the real counterpart to notary/legal-impersonation scams. Verified signals: the draft document arrived by physical mail in an envelope bearing the firm's return address and phone; the appointment is in-person at a midtown office (standard estate-planning workflow for final signatures, often required by state law for witnessing); mom herself initiated the engagement (no cold outreach); and the request to bring government-issued IDs is standard notary practice under California Civil Code §1185 for signature acknowledgment. No wire-transfer demand, no retainer fee re-collected, no off-channel communication. Confidence check: mom can independently verify the firm by looking up Chu Law Firm in the California State Bar's public attorney-search at apps.calbar.ca.gov — every practicing California attorney's license, bar number, and firm of record is listed there. She can then call the firm at its State-Bar-registered main number (not the envelope phone) to confirm the Tuesday 3pm appointment is on the firm's calendar. If any follow-up communication ever claims the firm needs a 'filing fee' wired before the signing meeting or requests documents be emailed/faxed urgently, that is the scam variant — real estate-planning firms collect fees via check or ACH tied to their existing engagement agreement, never via same-week wire.",,"Contrast twin of fake_elder_law_services: shares surface features (channel=in_person, language=cantonese, authority tone) but differs in the causal feature — verifiable institutional identity, absence of fund-transfer demand, or presence of known family context. The model must learn that in_person + cantonese + authority language does NOT determine fraud; the causal features do."
