text,label,category,sub_type,language,code_mixed,context_type,reasoning_tag,difficulty
Be cautious of region-specific urgency claims such as reserved seats or amnesty routes tied to fast payment.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
We process spouse visa without marriage verification. Fastest route available for genuine couples.,scam,fraud,visa,English,no,original,process_bypass,standard
Any offer claiming to skip required verification steps is a major red flag.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
We can attach your file to an already approved employer and send LMIA copy after payment.,scam,fraud,lmia,English,no,original,document_misuse,standard
Do not rely on recycled employer papers or promised LMIA copies sent only after payment.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Your IELTS score can be adjusted internally to meet the requirement. Confidential service only.,scam,fraud,ielts,English,no,original,document_fraud,standard
Any claim about changing language test scores internally is fraudulent.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Border issue resolved from our side. Send passport and police certificate urgently by courier.,scam,fraud,document,English,no,original,document_collection,standard
Sensitive documents should not be sent to unknown agents based on urgent pressure messages.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Last two seats left in caregiver intake. Confirm now with deposit or your chance is gone.,scam,fraud,job,English,no,original,scarcity_pressure,standard
Scarcity messages about final seats should never replace proper verification of the program.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
"सर आपका Canada work permit पक्का है, बस आज advance जमा कर दें।",scam,fraud,visa,Hindi,yes,original,guaranteed_outcome,standard
कोई भी एजेंट Canada work permit पक्का नहीं कर सकता। केवल आधिकारिक प्रक्रिया पर भरोसा करें।,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"LMIA approved job ready hai, IELTS ki zarurat nahi, turant payment kijiye.",scam,fraud,job,Hindi,yes,original,too_good_to_be_true,standard
"सही overseas job ke liye employer verification, documents aur proper review zaruri hota hai.",safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Aapka visa slot block ho chuka hai, ek ghante ke andar passport copy bhejiye.",scam,fraud,visa,Hindi,yes,original,urgency_manipulation,standard
पासपोर्ट कॉपी या पैसे केवल इसलिए न भेजें क्योंकि कोई slot block होने का दावा कर रहा है।,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Embassy side se file hold par hai, service charge denge to approval nikal jayega.",scam,fraud,visa,Hindi,yes,original,authority_claim,standard
Embassy decision ko private service charge dekar badla nahi जा सकता।,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Student visa internal category me select ho gaye ho, bas processing amount bhejo.",scam,fraud,visa,Hindi,yes,original,authority_claim,standard
Internal category ya guaranteed selection jaisi baaton ko bina proof ke kabhi accept na karein.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Hum High Commission link se backlog clear karwa denge, aaj payment kar do.",scam,fraud,visa,Hindi,yes,original,authority_claim,standard
High Commission link ya andar ke contact ke naam par paisa maangna bahut bada red flag hai.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
Biometrics date jaldi chahiye to priority fee UPI par bhej do.,scam,fraud,visa,Hindi,yes,original,process_bypass,standard
"Biometrics appointment ke liye sirf official booking method use karein, private UPI payment nahi.",safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Canada PR approval letter raat tak mil jayega, final security deposit bhejo.",scam,fraud,visa,Hindi,yes,original,guaranteed_outcome,standard
PR approval letter deposit ke badle turant dene ka wada aam taur par fraud hota hai.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Brampton warehouse job fix hai, sirf medical aur stamping charge dena hai.",scam,fraud,job,Hindi,yes,original,advance_fee,standard
Medical ya stamping charge dene se pehle employer aur offer dono ko independently verify karein.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Aapka embassy verification miss ho gaya, account par aaya OTP abhi share karein.",scam,fraud,otp,Hindi,yes,original,credential_theft,standard
OTP share karne ke liye embassy ya consultant ka pressure banana ek fraud signal hai.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Pehle wali refused visa file ka refund tayyar hai, release charge bhejna hoga.",scam,fraud,refund,Hindi,yes,original,advance_fee,standard
Refund ke naam par alag se release charge maangna aksar fraud pattern hota hai.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
Refusal ko approval me convert karwana hai to hamare legal contact ko amount bhej do.,scam,fraud,visa,Hindi,yes,original,authority_claim,standard
Refusal ko secret contact se approval me convert karane ka दावा भरोसेमंद नहीं होता।,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Punjab applicants ke liye special amnesty route khula hai, midnight se pehle booking karo.",scam,fraud,visa,Hindi,yes,original,scarcity_pressure,standard
Special state-based amnesty ya fast booking wale claims ko official source se check karein.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Spouse visa bina marriage verification ke ho jayega, fast file lagwa dete hain.",scam,fraud,visa,Hindi,yes,original,process_bypass,standard
"Jahan required verification skip karne ki baat ho, wahan fraud ka risk bahut high hota hai.",safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Approved employer ki file attach kar denge, LMIA copy baad me de denge.",scam,fraud,lmia,Hindi,yes,original,document_misuse,standard
Employer papers ya LMIA ka proof payment ke baad dene ki baat suspicious hoti hai.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"IELTS score internally increase karwa denge, confidential service hai.",scam,fraud,ielts,Hindi,yes,original,document_fraud,standard
Language test score ko andar se badalne ka claim seedha fraud signal hai.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Border issue solve ho gaya hai, passport aur police certificate courier kar do.",scam,fraud,document,Hindi,yes,original,document_collection,standard
Unknown agent ko urgent pressure me sensitive documents courier mat karein.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"Caregiver intake ki aakhri do seats bachi hain, abhi token bhejo warna chance chala jayega.",scam,fraud,job,Hindi,yes,original,scarcity_pressure,standard
Final seats ya last chance wale pressure messages par bina verification ke payment na karein.,safe,consumer_protection,advisory,Hindi,yes,contrast,safe_information,standard
"ਤੁਹਾਡਾ Canada work permit ਪੱਕਾ ਲੱਗਣਾ ਹੈ, ਅੱਜ ਹੀ ਫਾਈਲ ਖੋਲ੍ਹਣ ਵਾਲੇ ਪੈਸੇ ਭੇਜੋ।",scam,fraud,visa,Punjabi,yes,original,guaranteed_outcome,standard
ਕੋਈ ਵੀ ਏਜੰਟ Canada work permit ਪੱਕਾ ਨਹੀਂ ਕਰ ਸਕਦਾ। ਸਿਰਫ਼ official process ਤੇ ਹੀ ਭਰੋਸਾ ਕਰੋ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"LMIA approved ਨੌਕਰੀ ready ਪਈ ਹੈ, IELTS ਦੀ ਲੋੜ ਨਹੀਂ, ਹੁਣੇ payment ਕਰੋ।",scam,fraud,job,Punjabi,yes,original,too_good_to_be_true,standard
"ਅਸਲੀ overseas job ਲਈ employer verification, documents ਤੇ proper review ਲਾਜ਼ਮੀ ਹੁੰਦੇ ਹਨ।",safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"ਤੁਹਾਡੇ ਨਾਮ ਤੇ visa slot ਰੁਕਿਆ ਪਿਆ ਹੈ, ਇਕ ਘੰਟੇ ਅੰਦਰ passport copy ਭੇਜੋ।",scam,fraud,visa,Punjabi,yes,original,urgency_manipulation,standard
ਕੇਵਲ slot ਰੁਕਣ ਦੀ ਗੱਲ ਕਰਕੇ passport copy ਜਾਂ paise ਨਾ ਭੇਜੋ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Embassy side ਤੋਂ file hold 'ਚ ਹੈ, service charge ਦਿਓ ਤਾਂ approval ਕੱਢ ਦਿਆਂਗੇ।",scam,fraud,visa,Punjabi,yes,original,authority_claim,standard
Embassy ਦਾ ਫੈਸਲਾ private service charge ਦੇ ਕੇ ਨਹੀਂ ਬਦਲਿਆ ਜਾਂਦਾ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Student visa internal category 'ਚ select ਹੋ ਗਏ ਹੋ, processing amount ਅੱਜ ਹੀ ਪਾਓ।",scam,fraud,visa,Punjabi,yes,original,authority_claim,standard
Internal category ਜਾਂ guaranteed selection ਵਾਲੇ ਦਾਅਵੇ ਬਿਨਾਂ proof ਦੇ ਨਾ ਮਨੋ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"ਸਾਡੇ High Commission link ਨਾਲ backlog clear ਹੋ ਜੂ, today ਹੀ payment ਕਰ ਦਿਓ।",scam,fraud,visa,Punjabi,yes,original,authority_claim,standard
High Commission link ਜਾਂ ਅੰਦਰੂਨੀ contact ਦੇ ਨਾਂ 'ਤੇ paise ਮੰਗਣਾ ਵੱਡਾ red flag ਹੁੰਦਾ ਹੈ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
Biometrics date ਜਲਦੀ ਚਾਹੀਦੀ ਹੈ ਤਾਂ priority fee UPI ਤੇ ਪਾਓ।,scam,fraud,visa,Punjabi,yes,original,process_bypass,standard
"Biometrics appointment ਲਈ sirf official booking channel ਵਰਤੋ, private UPI payment ਨਹੀਂ।",safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Canada PR approval letter ਅੱਜ ਰਾਤ ਤੱਕ ਆ ਜੂ, final security deposit ਭੇਜੋ।",scam,fraud,visa,Punjabi,yes,original,guaranteed_outcome,standard
PR approval letter deposit ਦੇ ਬਦਲੇ ਫੌਰਨ ਦੇਣ ਦਾ promise ਆਮ ਤੌਰ 'ਤੇ fraud ਹੁੰਦਾ ਹੈ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Brampton warehouse job fix ਆ, sirf medical ਤੇ stamping charges dene ne.",scam,fraud,job,Punjabi,yes,original,advance_fee,standard
Medical ਜਾਂ stamping charges ਦੇਣ ਤੋਂ ਪਹਿਲਾਂ employer ਤੇ offer ਦੋਵੇਂ verify ਕਰੋ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"ਤੁਹਾਡਾ embassy verification miss ਹੋ ਗਿਆ, mobile ਤੇ ਆਇਆ OTP ਹੁਣੇ share ਕਰੋ।",scam,fraud,otp,Punjabi,yes,original,credential_theft,standard
Embassy ਜਾਂ consultant ਵੱਲੋਂ OTP share ਕਰਨ ਦਾ ਦਬਾਅ fraud signal ਹੁੰਦਾ ਹੈ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"ਪਹਿਲੀ refused file ਦਾ refund ready ਆ, release charge ਪਾ ਦਿਓ।",scam,fraud,refund,Punjabi,yes,original,advance_fee,standard
Refund ਦੇ ਨਾਂ 'ਤੇ ਵੱਖਰਾ release charge ਮੰਗਣਾ ਆਮ fraud pattern ਹੈ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Refusal ਨੂੰ approval 'ਚ convert ਕਰਵਾ ਦੇਵਾਂਗੇ, ਸਾਡੇ legal bande ਨੂੰ amount ਭੇਜੋ।",scam,fraud,visa,Punjabi,yes,original,authority_claim,standard
Secret contact ਜਾਂ legal setting ਨਾਲ refusal ਨੂੰ approval 'ਚ badal dena ਭਰੋਸੇਯੋਗ ਗੱਲ ਨਹੀਂ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Punjab applicants ਲਈ special amnesty route ਖੁੱਲਿਆ ਹੋਇਆ ਆ, midnight ਤੋਂ ਪਹਿਲਾਂ booking ਕਰੋ।",scam,fraud,visa,Punjabi,yes,original,scarcity_pressure,standard
State-specific amnesty ਜਾਂ fast booking ਵਾਲੇ claims official source ਤੋਂ ਹੀ check ਕਰੋ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Spouse visa ਬਿਨਾਂ marriage verification ਦੇ ਕਰਵਾ ਦੇਵਾਂਗੇ, fast file lag ju.",scam,fraud,visa,Punjabi,yes,original,process_bypass,standard
"ਜਿੱਥੇ required verification skip ਕਰਨ ਦੀ ਗੱਲ ਹੋਵੇ, ਉੱਥੇ fraud ਦਾ ਖਤਰਾ ਕਾਫ਼ੀ ਵੱਧ ਹੁੰਦਾ ਹੈ।",safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Approved employer ਨਾਲ ਤੁਹਾਡੀ file attach ਕਰ ਦੇਵਾਂਗੇ, LMIA copy ਬਾਅਦ 'ਚ ਦੇਵਾਂਗੇ।",scam,fraud,lmia,Punjabi,yes,original,document_misuse,standard
Employer papers ਜਾਂ LMIA ਦਾ proof payment ਤੋਂ ਬਾਅਦ ਦੇਣ ਦੀ ਗੱਲ suspicious ਹੁੰਦੀ ਹੈ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"IELTS score ਅੰਦਰੋਂ increase ਕਰਵਾ ਦੇਵਾਂਗੇ, confidential service ਆ।",scam,fraud,ielts,Punjabi,yes,original,document_fraud,standard
Language test score ਨੂੰ ਅੰਦਰੋਂ badlan da claim ਸਿੱਧਾ fraud signal ਹੈ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Border issue solve ਹੋ ਗਿਆ, passport ਤੇ police certificate courier ਕਰ ਦਿਓ।",scam,fraud,document,Punjabi,yes,original,document_collection,standard
Unknown bande ਨੂੰ ਤੁਰੰਤ ਦਬਾਅ 'ਚ sensitive documents courier ਨਾ ਕਰੋ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
"Caregiver intake ਦੀਆਂ ਆਖ਼ਰੀ ਦੋ seats ਨੇ, ਹੁਣੇ token ਪਾਓ ਨਹੀਂ ਤਾਂ chance ਨਿਕਲ ਜੂ।",scam,fraud,job,Punjabi,yes,original,scarcity_pressure,standard
Last seats ਜਾਂ final chance ਵਾਲੇ pressure messages 'ਤੇ ਬਿਨਾਂ verification payment ਨਾ ਕਰੋ।,safe,consumer_protection,advisory,Punjabi,yes,contrast,safe_information,standard
Your application is under review. Please wait for an update from the official portal.,safe,consumer_protection,advisory,English,no,negative,neutral,advanced
A document request should be answered only after checking the sender address carefully.,safe,consumer_protection,advisory,English,no,negative,neutral,advanced
Visa decisions may take time. Avoid relying on unofficial status updates from third parties.,safe,consumer_protection,advisory,English,no,negative,neutral,advanced
A genuine consultant will explain that approval depends on the reviewing authority.,safe,consumer_protection,advisory,English,no,negative,neutral,advanced
Always read fee receipts fully before making any immigration-related payment.,safe,consumer_protection,advisory,English,no,negative,neutral,advanced
"Never share OTP, banking PIN, or card details during job or visa processing.",safe,consumer_protection,advisory,English,no,negative,neutral,advanced
आपकी application review में है। कृपया आधिकारिक portal से update देखें।,safe,consumer_protection,advisory,Hindi,yes,negative,neutral,advanced
Document request ka जवाब देने से पहले sender address ko dhyan se check करें।,safe,consumer_protection,advisory,Hindi,yes,negative,neutral,advanced
"Visa decision mein समय लग सकता है, unofficial update par भरोसा न करें।",safe,consumer_protection,advisory,Hindi,yes,negative,neutral,advanced
सही consultant यही बताएगा कि approval reviewing authority पर depend करता है।,safe,consumer_protection,advisory,Hindi,yes,negative,neutral,advanced
Immigration payment karne se pehle receipt aur terms ko dhyan se पढ़ें।,safe,consumer_protection,advisory,Hindi,yes,negative,neutral,advanced
"OTP, banking PIN ya card details kisi processing chat mein share na karein.",safe,consumer_protection,advisory,Hindi,yes,negative,neutral,advanced
ਤੁਹਾਡੀ application review 'ਚ ਹੈ। Update sirf official portal ਤੋਂ ਹੀ ਵੇਖੋ।,safe,consumer_protection,advisory,Punjabi,yes,negative,neutral,advanced
Document request da ਜਵਾਬ ਦੇਣ ਤੋਂ ਪਹਿਲਾਂ sender address ਧਿਆਨ ਨਾਲ check ਕਰੋ।,safe,consumer_protection,advisory,Punjabi,yes,negative,neutral,advanced
"Visa decision nu ਸਮਾਂ ਲੱਗ ਸਕਦਾ ਹੈ, unofficial update 'ਤੇ ਭਰੋਸਾ ਨਾ ਕਰੋ।",safe,consumer_protection,advisory,Punjabi,yes,negative,neutral,advanced
ਅਸਲੀ consultant ਹਮੇਸ਼ਾ ਦੱਸੇਗਾ ਕਿ approval reviewing authority 'ਤੇ depend ਕਰਦਾ ਹੈ।,safe,consumer_protection,advisory,Punjabi,yes,negative,neutral,advanced
Immigration payment ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ receipt ਤੇ terms ਪੂਰੀਆਂ ਪੜ੍ਹੋ।,safe,consumer_protection,advisory,Punjabi,yes,negative,neutral,advanced
"OTP, banking PIN ਜਾਂ card details ਕਿਸੇ processing chat 'ਚ ਕਦੇ share ਨਾ ਕਰੋ।",safe,consumer_protection,advisory,Punjabi,yes,negative,neutral,advanced
"We cannot guarantee your visa, but if you pay a priority review amount today, your chances will become almost certain.",scam,fraud,visa,English,no,edge_case,guarantee_claim,hard
This consultant says approval is never guaranteed and still asks you to verify everything on the official website before paying.,safe,consumer_protection,advisory,English,no,edge_case,safe_information,hard
"No guarantee from our side, but all Punjab files we handled last week were approved after our special route fee.",scam,fraud,visa,English,no,edge_case,misleading_social_proof,hard
"A trustworthy advisor may discuss success history, but should never present it as a hidden paid route to approval.",safe,consumer_protection,advisory,English,no,edge_case,safe_information,hard
"सर guarantee तो नहीं है, लेकिन priority review charge दे देंगे तो refusal ka risk khatam ho jayega.",scam,fraud,visa,Hindi,yes,edge_case,guarantee_claim,hard
"सही सलाहकार कभी भी risk khatam hone ka दावा नहीं करेगा, केवल प्रक्रिया समझाएगा।",safe,consumer_protection,advisory,Hindi,yes,edge_case,safe_information,hard
"Hum illegal kaam nahi karte, bas andar ki fast lane use karte hain jisse file jaldi nikal jaati hai.",scam,fraud,visa,Hindi,yes,edge_case,process_bypass,hard
Fast lane ya andar ki setting jaise claims bina official proof ke serious red flag hote hain.,safe,consumer_protection,advisory,Hindi,yes,edge_case,safe_information,hard
"ਅਸੀਂ guarantee ਨਹੀਂ ਦਿੰਦੇ, ਪਰ ਜੇ ਅੱਜ priority ਵਾਲੇ paise ਪਾ ਦਿਓ ਤਾਂ approval ਲਗਭਗ ਪੱਕਾ ਬਣ ਜੂ।",scam,fraud,visa,Punjabi,yes,edge_case,guarantee_claim,hard
ਭਰੋਸੇਯੋਗ advisor ਕਦੇ ਵੀ approval ਲਗਭਗ ਪੱਕਾ ਕਹਿ ਕੇ paise ਨਹੀਂ ਮੰਗਦਾ।,safe,consumer_protection,advisory,Punjabi,yes,edge_case,safe_information,hard
"ਅਸੀਂ ਕੁਝ illegal ਨਹੀਂ ਕਰਦੇ, ਬੱਸ ਅੰਦਰਲਾ fast route ਲਗਾਉਂਦੇ ਹਾਂ ਜਿਸ ਨਾਲ file ਜਲਦੀ ਨਿਕਲਦੀ ਆ।",scam,fraud,visa,Punjabi,yes,edge_case,process_bypass,hard
"Fast route, andarli setting ਜਾਂ special lane ਵਰਗੀਆਂ gallan official proof ਤੋਂ ਬਿਨਾਂ danger sign ਹੁੰਦੀਆਂ ਹਨ।",safe,consumer_protection,advisory,Punjabi,yes,edge_case,safe_information,hard
"The consultant sent a real company website link, but insists the payment must go to a personal account first.",scam,fraud,job,English,no,edge_case,mixed_legitimacy,hard
"Even if some details look real, payment requests to personal accounts should trigger caution and verification.",safe,consumer_protection,advisory,English,no,edge_case,safe_information,hard
"Agent ne company ka asli link bheja hai, lekin payment personal UPI par maang raha hai.",scam,fraud,job,Hindi,yes,edge_case,mixed_legitimacy,hard
Kuch details sahi dikhne par bhi personal account payment ko bina verification accept na karein.,safe,consumer_protection,advisory,Hindi,yes,edge_case,safe_information,hard
"Agent ਨੇ company da asli link ਭੇਜਿਆ, ਪਰ payment personal account 'ਚ ਮੰਗ ਰਿਹਾ ਹੈ।",scam,fraud,job,Punjabi,yes,edge_case,mixed_legitimacy,hard
"ਜੇ ਕੁਝ cheezaan ਠੀਕ ਵੀ ਲੱਗਣ, personal account payment ਫਿਰ ਵੀ verify ਕੀਤੇ ਬਿਨਾਂ ਨਾ ਕਰੋ।",safe,consumer_protection,advisory,Punjabi,yes,edge_case,safe_information,hard
Public alert: Do not trust overseas job advertisements that ask for instant token payments over chat.,safe,consumer_protection,public_alert,English,no,public_alert,safe_information,advanced
"Public notice: Verify immigration agents, fee receipts, and employer details before making any payment.",safe,consumer_protection,public_alert,English,no,public_alert,safe_information,advanced
जन सूचना: विदेश नौकरी के नाम पर chat में तुरंत token payment माँगने वाले ads से सावधान रहें।,safe,consumer_protection,public_alert,Hindi,yes,public_alert,safe_information,advanced
"जन सूचना: payment se pehle immigration agent, fee receipt aur employer details verify karein.",safe,consumer_protection,public_alert,Hindi,yes,public_alert,safe_information,advanced
ਜਨਤਕ ਸੂਚਨਾ: ਵਿਦੇਸ਼ੀ ਨੌਕਰੀ ਦੇ ਨਾਂ 'ਤੇ chat 'ਚ ਤੁਰੰਤ token payment ਮੰਗਣ ਵਾਲਿਆਂ ਤੋਂ ਸਾਵਧਾਨ ਰਹੋ।,safe,consumer_protection,public_alert,Punjabi,yes,public_alert,safe_information,advanced
"ਜਨਤਕ ਸੂਚਨਾ: payment ਤੋਂ ਪਹਿਲਾਂ immigration agent, fee receipt ਤੇ employer details verify ਕਰੋ।",safe,consumer_protection,public_alert,Punjabi,yes,public_alert,safe_information,advanced
"Your profile looks strong for Canada PR, but the final decision still depends on the embassy review.",safe,consumer_protection,advisory,English,no,edge_case,realistic_expectation,hard
We only help with guidance and documentation. You can verify everything yourself on the official portal before deciding.,safe,consumer_protection,advisory,English,no,edge_case,natural_safe_flow,hard
You can apply directly through the official website. We do not collect embassy or visa payments on anyone's behalf.,safe,consumer_protection,advisory,English,no,edge_case,natural_safe_flow,hard
Your Canada file has been shortlisted for fast-track processing.,scam,fraud,visa,English,no,original,trust_building,hard
"To continue, send your passport copy and a small processing amount today.",scam,fraud,visa,English,no,followup,subtle_advance_fee,hard
"After payment, we will release your final approval update within 24 hours.",scam,fraud,visa,English,no,followup,urgency_pressure,hard
Employer has shortlisted your profile for a warehouse role in Toronto.,scam,fraud,job,English,no,original,trust_building,hard
HR says a small documentation charge is needed before the offer letter can move ahead.,scam,fraud,job,English,no,followup,subtle_advance_fee,hard
"Once the payment is confirmed, your offer letter will be issued immediately.",scam,fraud,job,English,no,followup,payment_trigger,hard
